unix,low,high,open,close,volume,date,vol_fiat
1611964800,25.8101,27.0624,26.2484,26.478,48371.213,2021-01-30,1280772.977814
1611878400,25.8038,26.9795,26.454,26.2438,67153.437,2021-01-29,1762361.3699406001
1611792000,25.0,27.4856,25.5981,26.454,52943.068,2021-01-28,1400555.920872
1611705600,25.0527,27.2633,27.193,25.6194,40183.975,2021-01-27,1029489.329115
1611619200,25.4628,27.5,26.87,27.0881,68883.918,2021-01-26,1865934.4591758002
1611532800,26.6,27.6621,27.5648,26.903,90340.453,2021-01-25,2430429.2070589997
1611446400,27.2584,29.0,28.0775,27.4852,64336.879,2021-01-24,1768311.9866908
1611360000,26.6779,28.8998,26.9831,28.0204,56431.883,2021-01-23,1581243.9344132
1611273600,25.2474,27.6659,26.0648,26.9965,94182.745,2021-01-22,2542604.4753925
1611187200,26.0,28.7557,28.7357,26.0659,82440.874,2021-01-21,2148895.5775965997
1611100800,27.0462,29.99,28.3232,28.679,52270.689,2021-01-20,1499071.089831
1611014400,28.3232,31.0999,30.1933,28.3232,81096.968,2021-01-19,2296925.6440576
1610928000,27.5,32.0,27.7685,30.2372,98147.277,2021-01-18,2967698.8441044004
1610841600,26.5002,29.0,28.0944,27.7632,97314.67,2021-01-17,2701766.646144
1610755200,27.055,29.98,27.1864,28.1115,91358.321,2021-01-16,2568219.4407915
1610668800,26.5,28.9368,27.7428,27.2077,81414.407,2021-01-15,2215098.7613339
1610582400,27.0166,30.0,28.237,27.694,96728.731,2021-01-14,2678805.476314
1610496000,26.106,31.0,27.3586,28.236,140033.334,2021-01-13,3953981.218824
1610409600,26.0,37.5,26.5125,27.3034,418956.727,2021-01-12,11438943.099971801
1610323200,25.0,27.8432,27.6036,26.5248,101507.792,2021-01-11,2692473.8812416
1610236800,27.0,32.0,28.2727,27.6074,118994.671,2021-01-10,3285133.4801654
1610150400,26.3111,28.63,26.563,28.2021,74313.693,2021-01-09,2095802.2013553001
